,address,pname,cityname,adname,name,location,tel,lng,lat,score
1,百步亭花园万锦江城27号,湖北省,武汉市,江岸区,优倍动物医院,"114.315632,30.648042",027-82353338,114.315632,30.648042,4.5
2,后湖大道1853号(同鑫花园1号门),湖北省,武汉市,江岸区,甄爱宠物医院,"114.299506,30.647381",13871390536;17720484014,114.299506,30.647381,4.9
3,新龙街121号,湖北省,武汉市,新洲区,从仁宠物诊所(新龙街店),"114.571429,30.647449",13164129171,114.571429,30.647449,4.8
4,江城大道与四新南路交叉口和昌都汇华府1-10商铺,湖北省,武汉市,汉阳区,好宠爱动物医院,"114.214335,30.514052",027-84652120;18062756120,114.214335,30.514052,4.4
5,人民路62号,湖北省,武汉市,新洲区,武汉凯凯动物医院,"114.795229,30.828287",13995523868;15377653688,114.795229,30.828287,3.8
6,白沙五路万科金色城市锦绣苑2号123,湖北省,武汉市,洪山区,奇心宠物诊所,"114.266037,30.477681",13419662454;17320560304,114.266037,30.477681,4.8
7,兴业南路10号附4号,湖北省,武汉市,江岸区,武汉伟伟动物医院,"114.289191,30.632775",027-82968920;13407175085,114.289191,30.632775,4.8
8,藏龙岛街道天纵水晶郦都14栋26号,湖北省,武汉市,江夏区,华诚动物诊所(江夏店),"114.441134,30.433522",13419630912,114.441134,30.433522,4.8
9,和平街道纺机路恒庆花园2栋1层3号房,湖北省,武汉市,洪山区,武汉友益宠物医院,"114.351964,30.598818",027-88712678;18908630811,114.351964,30.598818,4.8
10,东湖新技术开发区光谷一路城市之光242门,湖北省,武汉市,江夏区,武汉默东动物医院(光谷分院),"114.437084,30.475211",027-87002324,114.437084,30.475211,4.8
11,万达G72号,湖北省,武汉市,蔡甸区,宠康宠物诊所(万达广场店),"114.176145,30.507063",027-84398186,114.176145,30.507063,4.8
12,长风路华生汉口城市广场南区C1栋二楼,湖北省,武汉市,硚口区,萧志成宠物医院,"114.206402,30.611754",18986215844,114.206402,30.611754,4.9
13,巨龙大道美景天城B2栋商业023商铺,湖北省,武汉市,黄陂区,乐友嘉宠物诊所,"114.287238,30.704071",13628628773,114.287238,30.704071,4.9
14,珞狮北路98号湖北科技创业大厦A座-103,湖北省,武汉市,武昌区,武汉华星动物医院,"114.355544,30.536154",[],114.355544,30.536154,4.9
15,南湖南路江南家园A005号,湖北省,武汉市,洪山区,宠颐生非凡动物医院福康分院,"114.396698,30.480164",027-87055707;18062128901,114.396698,30.480164,4.9
16,和平公园花鸟市场东门(和平公园地铁站C口步行480米),湖北省,武汉市,青山区,憨子宠物诊所,"114.390641,30.634285",027-86331811;13260676968,114.390641,30.634285,4.9
